# Resultados de rendimiento
# Programa: bin/mmClasicaSerie
# Tamaño matriz: 1000 x 1000
# Número de hilos: 1
# Repeticiones: 30
# Tiempo en microsegundos
#
# Iteracion	Tiempo(us)
1	1802648
2	1682779
3	1668962
4	1675649
5	1668133
6	1627369
7	1301866
8	1302021
9	1305153
10	1285451
11	1296052
12	1300699
13	1295281
14	1300356
15	1672441
16	1665296
17	1673763
18	1675964
19	1657738
20	1358833
21	1302654
22	1298537
23	1290682
24	1708075
25	1667709
26	1678101
27	1675519
28	1675376
29	1608466
30	1284307
