# Resultados de rendimiento
# Programa: bin/mmClasicaSerie
# Tamaño matriz: 1000 x 1000
# Número de hilos: 4
# Repeticiones: 30
# Tiempo en microsegundos
#
# Iteracion	Tiempo(us)
1	1685555
2	1704689
3	1730972
4	1705175
5	1704198
6	1689739
7	1682303
8	1346263
9	1314674
10	1314179
11	1321109
12	1698757
13	1685121
14	1661287
15	1668530
16	1676828
17	1662857
18	1359833
19	1308871
20	1670643
21	1691551
22	1681085
23	1681698
24	1696095
25	1703664
26	1676889
27	1680672
28	1716729
29	1713836
30	1687520
